,QUERY,TITLE,VALID,TITLE2,TITLE3,COMPANY,LOCATION,SALARY,SALARY_MAX,SALARY_MIN
526,Back Office,Account Executive,Y,,Back Office,Datamaya Consulting,Tangerang,4500000,5000000,4000000
562,Back Office,CUSTOMER SERVICE OFFICER (CSO) - JAKARTA,,Customer Service,Customer Service,PT Altrak 1978,Jakarta,4400000,4500000,4300000
588,Back Office,FRONTLINER / BACK OFFICE (PERBANKAN),Y,,Back Office,PT. Mutualplus Global Resources,Jakarta,4600000,5000000,4200000
599,Back Office,Sales,,,0,PT.Tri Dharma Kencana,Jakarta,9700000,15000000,4400000
604,Back Office,IT and web developer,Y,,Back Office,PT. Sapta Sarana Sejahtera,Jakarta,6750000,7000000,6500000
638,Back Office,Reservations Supervisor,,,0,Bali,Badung,4000000,4500000,3500000
648,Back Office,Frontend Developer Staff,Y,,Back Office,Sapta Sarana Sejahtera PT,Jakarta,7500000,8000000,7000000
654,Back Office,BACK OFFICE (BANK BRI),Y,,Back Office,PT. Mutualplus Global Resources,Jakarta,4500000,5000000,4000000
658,Back Office,Reservations Front Desk,,,0,Bali,Badung,4000000,4500000,3500000
707,Back Office,Full-Stack Web Developer (Jakarta / Batam),Y,,Back Office,TalentTribe Asia,Batam,7500000,10000000,5000000
714,Back Office,Full stack web developer,Y,,Back Office,Snap Innovations Pte. Ltd.,Jakarta,10000000,15000000,5000000
718,Back Office,Senior Backend Engineer PHP - Laravel,Y,,Back Office,Gomodo Technologies,Yogyakarta,7000000,10000000,4000000
726,Back Office,Web Development Node JS,Y,,Back Office,PT Cudo Communications,Tangerang,6500000,8000000,5000000
744,Branch Operations & Service Manager,Branch Manager,Y,,Branch Operations & Service Manager,Sincerity Group,Surabaya,8000000,8000000,8000000
933,Branch Manager,BRANCH SALES MANAGER,Y,,Branch Manager,PT. MULTISARI LANGGENGJAYA,Bekasi,6500000,8000000,5000000
968,Branch Manager,BRANCH MANAGER (JAWA BARAT),Y,,Branch Manager,Mulya Kencana Metalindo PT,Purwakarta,8250000,9000000,7500000
973,Branch Manager,Branch Manager,Y,,Branch Manager,Sincerity Group,Surabaya,8000000,8000000,8000000
979,Branch Manager,Supervisor Marketing,,,0,"PT. Mandala Multifinance, Tbk",Jambi,3000000,3500000,2500000
993,Branch Manager,Credit Marketing Officer,,,0,Kresna Reksa Finance PT,Jakarta,3200000,4000000,2400000
995,Branch Manager,Branch Manager Gresik,Y,,Branch Manager,Aksi Cepat Tanggap Foundation,Jakarta,12750000,13000000,12500000
998,Branch Manager,Branch Manager Cabang Natuna,Y,,Branch Manager,Aksi Cepat Tanggap Foundation,Riau,6500000,7000000,6000000
1002,Branch Manager,Branch Manager,Y,,Branch Manager,Naresy International Education Consultant,Lombok,4500000,6000000,3000000
1013,Branch Manager,Branch Manager Cirebon,Y,,Branch Manager,PT. Martina Berto Tbk,Cirebon,9500000,10000000,9000000
1043,Branch Manager,SPA Trainer,,,0,Eska Wellness Batam,Jakarta,3250000,3500000,3000000
1044,Branch Manager,SIPERVISOR MARKETING,,,0,"PT. Mandala Multifinance, Tbk",Pangkalpinang,3500000,4000000,3000000
1083,Branch Manager,AREA SALES MANAGER / BRANCH MANAGER,Y,,Branch Manager,PT Era Mulya Citra Warna,Bogor,4500000,5000000,4000000
1104,Branch Manager,SALES COUNTER,,,0,Nusantara Jaya Sentosa PT,Bandung,3313500,4000000,2627000
1425,Account Maintenance Staff,IT Officer,Y,,Account Maintenance Staff,EXO Travel Indonesia,Denpasar,2750000,2750000,2750000
1628,Consumer Administration Staff,Operational Staff,Y,,Consumer Administration Staff,PT. Klase Auto Graha,Jakarta,4750000,5300000,4200000
1629,Consumer Administration Staff,Staff Administrasi Warehouse,Y,,Consumer Administration Staff,CV TRI RAYA PRATAMA,Pontianak,2000000,2500000,1500000
2036,Business Banking Relationship Manager,Business Manager,Y,,Business Banking Relationship Manager,PC Securities Financial Group,Jakarta,10500000,14000000,7000000
2068,Business Banking Relationship Manager,AREA SALES MANAGER,Y,,Business Banking Relationship Manager,PT Everseiko Indonesia,Jakarta,7250000,8000000,6500000
2111,Business Banking Relationship Manager,Relationship Manager – Funding,Y,,Business Banking Relationship Manager,DANAMART,Jakarta,10000000,12000000,8000000
2124,Business Banking Relationship Manager,Relationship Manager - Lending,Y,,Business Banking Relationship Manager,DANAMART,Jakarta,12500000,15000000,10000000
2314,Business Control Staff,Senior Manager Finance Accounting (Trading Hi-Tech Company),,,0,ecoshire,Jakarta,55000000,70000000,40000000
2833,General Support Staff,Staff HRD & GA,,,0,wartaekonomi.co.id,Jakarta,4750000,5000000,4500000
2837,General Support Staff,Accounting Staff - (Chocolate Origin of Indonesia),Y,,General Support Staff,Indoco Cipta Persada (Indoco Cipta Persada) PT,Jakarta,4500000,4700000,4300000
2847,General Support Staff,Administrative Assistant,Y,,General Support Staff,PT. Partipost Kreasi Global Pratama,Jakarta,4400000,4500000,4300000
3246,Business Banking Staff,MARKETING KPR BANK,Y,,Business Banking Staff,JMI INDONESIA,Jakarta,5000000,7000000,3000000
3252,Business Banking Staff,SALES MORTGAGE/SALES KPR,Y,,Business Banking Staff,jovanka mutiara indonesia,Jakarta,5000000,7000000,3000000
3258,Business Banking Staff,ADMINISTRASI,Y,,Business Banking Staff,PT Everseiko Indonesia,Jakarta,3750000,4000000,3500000
3272,Business Banking Staff,SALES REPRESENTATIVE MORTGAGE / KPR AREA JABODETABEK,Y,,Business Banking Staff,JMI INDONESIA,Tangerang,4925000,7000000,2850000
3344,Area Business Control Supervisor,Supervisor Accounting and Tax,,,0,PT Indowine,Badung,7250000,8000000,6500000
3412,Area Manager,AREA SALES MANAGER,Y,,Area Manager,PT. MULTISARI LANGGENGJAYA,Tangerang,6500000,8000000,5000000
3437,Area Manager,Junior Account Representative untuk Modern Market Nasional,,,0,PT DEPO GLOBAL INDONESIA,Semarang,3000000,3500000,2500000
3454,Area Manager,Supervisore Store,,,0,D.O.J. Juice Bar,Jakarta,3750000,4000000,3500000
3516,Area Manager,STORE MANAGER/ASSISTANT STORE MANAGER MANADO,,,0,PT Kurnia Ciptamoda Gemilang,Manado,3850000,3900000,3800000
3517,Area Manager,SUPERVISOR/ASSISTANT SUPERVISOR MANADO,,,0,PT Kurnia Ciptamoda Gemilang,Manado,3638750,3677500,3600000
3518,Area Manager,Receptionist (Fluent English),,,0,PT Cyber Futures,Jakarta,5000000,6000000,4000000
3529,Area Manager,Kitchen Penempatan Jakarta Barat,,,0,PT. Bintang Mitra Dayasembada,Jakarta,3950000,4100000,3800000
3536,Area Manager,Area Sales Manager,Y,,Area Manager,BNI Life Insurance PT,Jakarta,9350000,11000000,7700000
3539,Area Manager,CITY MANAGER AREA JOGJA,Y,,Area Manager,PT Fintek Digital Indonesia,Yogyakarta,6250000,7500000,5000000
3562,Area Manager,Account Manager (Jabodetabek),,,0,PT. Alphanovation Digital Teknindo (Pawoon),Jakarta,4500000,4500000,4500000
3579,Area Manager,Store Manager,,,0,PT. SKA,Denpasar,4750000,5000000,4500000
3583,Area Manager,COOKING,,,0,PT. Bintang Mitra Dayasembada,Jakarta,4200000,4200000,4200000
