ID,Weight_Ind,Region,Area_type,Household Number,Q203_1,Q207a,Q207b,Q301a_1,Q301a_2,Q301a_3,Q301a_4,Q301a_5,Q301a_6,Q301a_7,Q301a_8,Q303,Q304_1,Q401_1,Q503,Q505b,Q506,Q507,Q601a,Q601b_1,Q1201,Q1202,Q1208,Q1209_1,Q1213,Q1214,Age,Gender,Income,Marital,Banked/Unbanked,Credit,Saving,Remittances,Education,Income_Sources,Age2
33,7315.097145,Greater Accra,Urban,3,Television,Yes,Yes,Never had,Never had,Have now,Never had,Never had,Never had,Never had,Never had,No,,,None of these,Trotro,No,21 to 30 minutes,Yes,Bank,No,I received most of my income as money,Some,,GH¢401 - GH¢600 per month,Don't know,34,Female,Yes,Married,Banked,Not borrowing,Saving at bank,Remitting through other formal (non-bank),Secondary education,Remittance Dependent,31 - 35 yrs
34,7315.097145,Greater Accra,Urban,1,Television,Yes,Yes,Never had,Never had,Used to but no longer have,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,,,,Yes,Susu collector / group,Yes,I received most of my income as money,None,I prefer getting the money in cash,Refused to answer,Refused to answer,35,Female,Yes,Never married,Informal,Not borrowing,Saving informally,Not remitting,Secondary education,Formally employed Private,31 - 35 yrs
35,7315.097145,Greater Accra,Urban,4,Can't remember/ Don't know,No,Yes,Never had,Never had,Have now,Never had,Never had,Never had,Never had,Never had,No,,,Bank,Trotro,Yes,31 to 60 minutes,Yes,Bank,No,I received most of my income as money,None,I prefer getting the money in cash,Don't know,Don't know,18,Female,No,Never married,Banked,Not borrowing,Saving at bank,Not remitting,Secondary education,Remittance Dependent,18 - 20 yrs
36,7315.097145,Greater Accra,Urban,2,Can't remember/ Don't know,Yes,No,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,,,,No,,Yes,I received most of my income as money,None,I prefer getting the money in cash,Don't know,Don't know,78,Male,No,Married,Excluded,Not borrowing,Not saving,Not remitting,No formal education,Farming and Fishing,46+ yrs
37,3975.596263,Greater Accra,Rural,2,Household members,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,,,,No,,No,I received most of my income as money,None,I prefer getting the money in cash,Below GH¢200 per month,Don't know,34,Male,Yes,Married,Excluded,Not borrowing,Not saving,Not remitting,Primary education,Remittance Dependent,31 - 35 yrs
38,3975.596263,Greater Accra,Rural,3,Can't remember/ Don't know,No,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,,,,No,,No,I received most of my income as money,None,Others Specify,Below GH¢200 per month,Don't know,22,Female,No,Never married,Excluded,Not borrowing,Not saving,Remiting through family and friends,Primary education,Remittance Dependent,21 - 25 yrs
39,3975.596263,Greater Accra,Rural,1,Friends/Colleagues,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,,,,No,,Yes,I received most of my income as money,None,Others Specify,Below GH¢200 per month,Below GH¢200 per month,28,Male,Yes,Never married,Excluded,Not borrowing,Not saving,Not remitting,Primary education,Self employed,26 - 30 yrs
40,3975.596263,Greater Accra,Rural,3,Household members,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,,,,No,,No,I received most of my income as money,None,Others Specify,Below GH¢200 per month,GH¢201 - GH¢400 per month,53,Female,Yes,Separated,Excluded,Not borrowing,Not saving,Not remitting,No formal education,Self employed,46+ yrs
41,3975.596263,Greater Accra,Rural,2,Television,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,,,,No,,No,I received most of my income as money,None,I prefer getting the money in cash,Below GH¢200 per month,GH¢1601 - GH¢1800 per month,27,Male,Yes,Married,Informal,Credit from family and friends,Saving informally,Not remitting,Vocational/Specialised training,Remittance Dependent,26 - 30 yrs
42,3975.596263,Greater Accra,Rural,2,Radio,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I can't read or write,None of these,,,,No,,No,I received most of my income as money,None,I prefer getting the money in cash,Below GH¢200 per month,GH¢401 - GH¢600 per month,30,Female,Yes,Married,Excluded,Not borrowing,Not saving,Not remitting,Primary education,Self employed,26 - 30 yrs
43,3975.596263,Greater Accra,Rural,7,Television,Yes,Yes,Never had,Never had,Have now,Never had,Never had,Never had,Never had,Not answered/Missing data,No,,,None of these,Trotro,No,31 to 60 minutes,No,,No,I received most of my income as money,None,I want to avoid bank charges,Below GH¢200 per month,GH¢1401 - GH¢1600 per month,28,Female,Yes,Married,Banked,Not borrowing,Saving at bank,Remiting through family and friends,Primary education,Informally employed,26 - 30 yrs
44,3975.596263,Greater Accra,Rural,4,Television,Yes,No,Never had,Never had,Used to but no longer have,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,,,,No,,Yes,I received most of my income as money,None,Others Specify,Don't know,Below GH¢200 per month,60,Male,Yes,Married,Other formal (non-bank),Not borrowing,Not saving,Remitting through other formal (non-bank),Primary education,Self employed,46+ yrs
45,3975.596263,Greater Accra,Rural,7,Banks or other financial institutions,Yes,No,Have now,Not answered/Missing data,Have now,Never had,Never had,Never had,Never had,Never had,No,,,Bank,Trotro,Yes,31 to 60 minutes,Yes,Bank,Yes,I received most of my income as money,Some,,Below GH¢200 per month,GH¢201 - GH¢400 per month,52,Female,Yes,Separated,Banked,Credit from informal sources,Saving at bank,Not remitting,Primary education,Self employed,46+ yrs
46,3975.596263,Greater Accra,Rural,4,Radio,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,,,,Yes,At home/secret hiding place,No,I received most of my income as money,None,There are limits to withdrawal,Below GH¢200 per month,GH¢201 - GH¢400 per month,31,Female,No,Married,Informal,Not borrowing,Saving at home,Remitting informally,Primary education,Remittance Dependent,31 - 35 yrs
47,3975.596263,Greater Accra,Rural,4,Radio,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,"Account charges and fees are too high  (e.g. Account opening fee, monthly maintenance fee)",None of these,,,,No,,No,I received most of my income as money,None,I prefer getting the money in cash,Refused to answer,Refused to answer,27,Female,Yes,Married,Excluded,Not borrowing,Not saving,Not remitting,Secondary education,Informally employed,26 - 30 yrs
48,3975.596263,Greater Accra,Rural,1,Radio,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,It costs too much to get to the bank,None of these,,,,No,,No,I received most of my income as money,None,I prefer getting the money in cash,Below GH¢200 per month,Below GH¢200 per month,37,Female,Yes,Married,Excluded,Not borrowing,Not saving,Not remitting,Primary education,Remittance Dependent,36 - 40 yrs
49,3301.036656,Greater Accra,Urban,3,Television,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,They come to me,,,Yes,Susu collector / group,No,I received most of my income as money,None,Others Specify,Below GH¢200 per month,GH¢401 - GH¢600 per month,34,Female,Yes,Married,Other formal (non-bank),Not borrowing,Saving informally,Remitting through other formal (non-bank),Primary education,Self employed,31 - 35 yrs
50,3301.036656,Greater Accra,Urban,1,Television,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,,,,No,,Yes,I received most of my income as money,None,I prefer getting the money in cash,Below GH¢200 per month,Below GH¢200 per month,25,Male,Yes,Never married,Excluded,Not borrowing,Not saving,Not remitting,Primary education,Informally employed,21 - 25 yrs
51,3301.036656,Greater Accra,Urban,1,Television,Yes,Yes,Never had,Not answered/Missing data,Have now,Never had,Never had,Never had,Never had,Never had,No,,,None of these,I walk,No,Under 10 minutes,Yes,Bank,No,I received most of my income as money,None,I prefer getting the money in cash,Below GH¢200 per month,Below GH¢200 per month,34,Female,Yes,Married,Banked,Not borrowing,Saving at bank,Remitting through other formal (non-bank),Secondary education,Formally employed Private,31 - 35 yrs
52,3301.036656,Greater Accra,Urban,2,Television,No,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,They come to me,,,Yes,Susu collector / group,No,I do not receive income,Have no income,,No income,Don't know,29,Female,No,Married,Other formal (non-bank),Not borrowing,Saving informally,Remiting through family and friends,Primary education,Remittance Dependent,26 - 30 yrs
53,3301.036656,Greater Accra,Urban,2,Radio,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,,,,No,,No,I received most of my income as money,None,I prefer getting the money in cash,Below GH¢200 per month,Don't know,71,Female,Yes,Widowed,Excluded,Not borrowing,Not saving,Not remitting,Primary education,Self employed,46+ yrs
54,3301.036656,Greater Accra,Urban,2,Television,Yes,Yes,Never had,Never had,Have now,Never had,Never had,Never had,Never had,Never had,No,,,Bank,I walk,No,Under 10 minutes,Yes,Bank,No,I received most of my income as money,None,I prefer getting the money in cash,Below GH¢200 per month,Don't know,32,Female,Yes,Married,Banked,Not borrowing,Saving at bank,Remitting through bank,Primary education,Self employed,31 - 35 yrs
55,3301.036656,Greater Accra,Urban,2,Television,Yes,Yes,Never had,Never had,Have now,Never had,Never had,Never had,Never had,Never had,No,,,Bank,They come to me,,,Yes,Bank,Yes,I received most of my income as money,None,I prefer getting the money in cash,Below GH¢200 per month,Below GH¢200 per month,46,Female,Yes,Married,Banked,Credit from family and friends,Saving at bank,Not remitting,Tertiary education,Self employed,46+ yrs
56,3301.036656,Greater Accra,Urban,2,Television,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,,,,No,,No,I received most of my income as money,None,To avoid making the trip to the bank,Below GH¢200 per month,Don't know,74,Female,Yes,Married,Excluded,Not borrowing,Not saving,Not remitting,No formal education,Self employed,46+ yrs
57,3301.036656,Greater Accra,Urban,2,Friends/Colleagues,Yes,Yes,Never had,Never had,Have now,Never had,Never had,Never had,Never had,Never had,No,,,Bank,I walk,No,Under 10 minutes,Yes,Bank,No,I received most of my income as money,Have no income,,No income,Don't know,25,Female,Yes,Married,Banked,Credit from family and friends,Saving at bank,Not remitting,Primary education,Remittance Dependent,21 - 25 yrs
58,3301.036656,Greater Accra,Urban,1,Friends/Colleagues,Yes,Yes,Never had,Never had,Have now,Never had,Never had,Never had,Never had,Never had,Yes,I cannot afford my own account,,Bank,I walk,No,Under 10 minutes,Yes,Bank,Yes,I received most of my income as money,None,I prefer getting the money in cash,Below GH¢200 per month,Below GH¢200 per month,24,Female,Yes,Never married,Banked,Not borrowing,Saving at bank,Not remitting,No formal education,Self employed,21 - 25 yrs
59,3301.036656,Greater Accra,Urban,7,Friends/Colleagues,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,Don't know,None of these,I walk,No,10 to 20 minutes,Yes,Susu collector / group,No,I received most of my income as money,None,Others Specify,GH¢201 - GH¢400 per month,GH¢601 - GH¢800 per month,42,Female,No,Married,Other formal (non-bank),Credit from other formal (non-bank),Saving informally,Not remitting,Primary education,Self employed,41 - 45 yrs
60,3301.036656,Greater Accra,Urban,1,Television,Yes,Yes,Never had,Never had,Used to but no longer have,Never had,Never had,Never had,Never had,Never had,No,,I don't have regular income,None of these,,,,No,,Yes,I do not receive income,Have no income,,No income,No income,52,Male,No,Married,Excluded,Not borrowing,Not saving,Not remitting,No formal education,Remittance Dependent,46+ yrs
61,2635.121461,Greater Accra,Urban,1,Television,Yes,Yes,Not answered/Missing data,Never had,Not answered/Missing data,Never had,Never had,Never had,Never had,Not answered/Missing data,No,,Not answered/Missing Data,ATM,Own car,Yes,21 to 30 minutes,Yes,Bank,Yes,I received most of my income as money,All,,Refused to answer,Refused to answer,35,Male,Yes,Never married,Banked,Not borrowing,Saving at bank,Remitting through other formal (non-bank),Tertiary education,Formally employed Private,31 - 35 yrs
62,2635.121461,Greater Accra,Urban,2,Television,Yes,Yes,Never had,Never had,Have now,Have now,Never had,Never had,Have now,Have now,No,,,Bank,Trotro,Yes,Between I to 2 hours,Yes,Bank,No,I received most of my income as money,Most,,GH¢201 - GH¢400 per month,GH¢601 - GH¢800 per month,40,Female,Yes,Married,Banked,Not borrowing,Saving at bank,Not remitting,Tertiary education,Formally employed Private,36 - 40 yrs
63,2635.121461,Greater Accra,Urban,1,Television,Yes,Yes,Have now,Used to but no longer have,Have now,Never had,Never had,Never had,Never had,Have now,No,,,Bank,Trotro,Yes,Between I to 2 hours,Yes,Bank,Yes,I received most of my income as money,All,,GH¢201 - GH¢400 per month,GH¢401 - GH¢600 per month,50,Male,Yes,Divorced,Banked,Not borrowing,Saving at bank,Remitting through bank,Tertiary education,Formally employed Private,46+ yrs
64,2635.121461,Greater Accra,Urban,3,Billboards,No,Yes,Never had,Never had,Have now,Never had,Never had,Never had,Not answered/Missing data,Not answered/Missing data,No,,,None of these,Taxi,Yes,Under 10 minutes,No,,No,I received most of my income as money,Some,,GH¢401 - GH¢600 per month,Don't know,24,Female,Yes,Never married,Banked,Not borrowing,Saving at bank,Remiting through family and friends,Tertiary education,Remittance Dependent,21 - 25 yrs
65,2635.121461,Greater Accra,Urban,2,Television,Yes,Yes,Have now,Never had,Have now,Never had,Never had,Never had,Never had,Have now,No,,,ATM,Taxi,No,10 to 20 minutes,Yes,Bank,No,I received most of my income as money,Some,,GH¢201 - GH¢400 per month,GH¢1201 - GH¢1400 per month,24,Male,Yes,Never married,Banked,Credit from other formal (non-bank),Saving at bank,Remitting through other formal (non-bank),Tertiary education,Remittance Dependent,21 - 25 yrs
66,2635.121461,Greater Accra,Urban,1,Friends/Colleagues,Yes,Not answered/Missing data,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,,,,No,,Yes,Not answered/Missing Data,Have no income,,No income,No income,32,Male,No,Never married,Excluded,Not borrowing,Not saving,Not remitting,Primary education,Dont Know,31 - 35 yrs
67,2635.121461,Greater Accra,Urban,3,Friends/Colleagues,Yes,Not answered/Missing data,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,,,,Yes,None of these,No,Not answered/Missing Data,Have no income,,No income,No income,38,Male,No,Never married,Excluded,Not borrowing,Not saving,Not remitting,Primary education,Dont Know,36 - 40 yrs
68,2635.121461,Greater Accra,Urban,3,Union Leaders,Yes,Yes,Never had,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,I don't have enough money or income,None of these,,,,No,,Yes,I received most of my income as money,None,I want to avoid bank charges,Below GH¢200 per month,Below GH¢200 per month,63,Female,Yes,Married,Other formal (non-bank),Not borrowing,Not saving,Not remitting,Primary education,Self employed,46+ yrs
69,2635.121461,Greater Accra,Urban,4,Television,Yes,Yes,Have now,Never had,Never had,Never had,Never had,Never had,Never had,Never had,No,,,Bank,Own car,No,31 to 60 minutes,Yes,Bank,Yes,I received most of my income as money,All,,Over GH¢2201 per month,Over GH¢2201 per month,55,Male,Yes,Married,Banked,Not borrowing,Saving at bank,Remitting through bank,Vocational/Specialised training,Formally employed Private,46+ yrs
