CIF_NO,CODE_GENDER,NAME_EDUCATION_TYPE,FLAG_OWN_REALTY,NAME_HOUSING_TYPE,ORGANIZATION_TYPE,CNT_CHILDREN,OCCUPATION_TYPE,AMT_INCOME_TOTAL,DAYS_EMPLOYED,CREDIT_LIMIT
73899970,M,Higher education,Y,House / apartment,Services,1,Managers,540000,-6977,0
74131490,M,Secondary / secondary special,N,House / apartment,Emergency,0,,76500,-778,0
74131527,F,Higher education,Y,House / apartment,Self-employed,2,Core staff,225000,-1392,0
74892085,M,Secondary / secondary special,N,House / apartment,XNA,0,,81000,365243,0
74892300,F,Higher education,Y,House / apartment,Medicine,0,Managers,180000,-4106,0
73745007,F,Secondary / secondary special,N,Municipal apartment,XNA,0,,67500,365243,20000000
73010301,M,Secondary / secondary special,Y,House / apartment,Security,0,Security staff,81000,-2351,30000000
74275786,M,Secondary / secondary special,Y,House / apartment,Transport: type 4,1,Laborers,360000,-1743,0
74851980,M,Higher education,Y,House / apartment,Business Entity Type 3,0,Managers,540000,-2091,20000000
73558359,F,Secondary / secondary special,Y,House / apartment,Industry: type 11,0,Accountants,180000,-2446,30000000
73478601,M,Incomplete higher,N,With parents,Trade: type 2,0,Sales staff,180000,-1324,0
74145196,M,Higher education,Y,House / apartment,XNA,0,,324000,365243,0
73033821,F,Higher education,N,House / apartment,University,0,,112500,-3720,60000000
73033820,M,Secondary / secondary special,N,House / apartment,Transport: type 3,0,Drivers,180000,-2546,80000000
73042472,M,Secondary / secondary special,Y,House / apartment,Police,0,Core staff,180000,-579,30000000
73908532,F,Higher education,Y,House / apartment,Government,0,Core staff,180000,-4856,30000000
73000637,M,Secondary / secondary special,Y,Municipal apartment,Construction,0,Laborers,225000,-114,80000000
73000681,F,Secondary / secondary special,N,House / apartment,Kindergarten,1,Sales staff,157500,-3154,50000000
73229377,M,Secondary / secondary special,N,House / apartment,Other,0,Laborers,180000,-121,10000000
73012689,M,Higher education,N,House / apartment,Business Entity Type 3,2,Laborers,180000,-2844,0
74792945,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,Laborers,103500,-892,30000000
74792714,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,2,Laborers,225000,-1156,0
73193333,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 1,1,Drivers,157500,-2224,0
73263601,F,Higher education,Y,House / apartment,Self-employed,1,Laborers,135000,-2492,0
73032565,F,Secondary / secondary special,Y,House / apartment,Self-employed,1,Cooking staff,202500,-2011,6000000
73118362,F,Higher education,N,House / apartment,School,0,,112500,-4066,20000000
73154915,M,Secondary / secondary special,Y,House / apartment,Self-employed,0,Laborers,135000,-2811,0
73044844,F,Secondary / secondary special,Y,House / apartment,Postal,1,Core staff,94500,-721,20000000
73044944,F,Higher education,Y,House / apartment,XNA,0,,108000,365243,0
73772031,F,Secondary / secondary special,Y,House / apartment,Trade: type 7,2,Sales staff,67500,-1434,0
73185271,F,Secondary / secondary special,Y,House / apartment,XNA,0,,81000,365243,30000000
74685253,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,,157500,-2442,0
73398025,M,Secondary / secondary special,N,House / apartment,Transport: type 3,0,Drivers,225000,-924,20000000
73457912,F,Secondary / secondary special,Y,House / apartment,XNA,0,,360000,365243,0
80082760,M,Higher education,Y,House / apartment,Industry: type 11,2,Managers,202500,-1094,0
74327709,F,Higher education,Y,House / apartment,Business Entity Type 1,0,High skill tech staff,202500,-969,60000000
74074900,F,Secondary / secondary special,N,House / apartment,Transport: type 4,1,Laborers,126000,-192,0
82374591,F,Secondary / secondary special,Y,House / apartment,School,0,,72000,-1694,0
82421923,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,Waiters/barmen staff,90000,-862,0
73087953,F,Secondary / secondary special,Y,House / apartment,Government,0,Managers,193500,-8862,0
82589372,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,3,Sales staff,171000,-1415,0
82626599,M,Secondary / secondary special,Y,House / apartment,Housing,3,Laborers,135000,-741,0
82626800,F,Secondary / secondary special,N,With parents,Business Entity Type 3,1,Sales staff,112500,-1249,0
82672026,M,Incomplete higher,Y,With parents,Industry: type 4,0,,315000,-2015,20000000
73122623,M,Secondary / secondary special,N,House / apartment,Agriculture,0,Low-skill Laborers,76500,-7980,0
74716914,F,Higher education,Y,House / apartment,Restaurant,0,Laborers,135000,-693,80000000
74716955,F,Secondary / secondary special,N,House / apartment,Business Entity Type 3,0,,90000,-367,0
73100748,F,Higher education,Y,House / apartment,Kindergarten,0,Core staff,243000,-6737,30000000
73100753,F,Secondary / secondary special,Y,House / apartment,XNA,0,,90000,365243,80000000
73113597,F,Secondary / secondary special,Y,House / apartment,Medicine,0,Medicine staff,54000,-2419,20000000
73152271,F,Higher education,N,House / apartment,Government,0,Core staff,135000,-2953,80000000
73266417,M,Secondary / secondary special,Y,With parents,Business Entity Type 2,0,Low-skill Laborers,126000,-669,20000000
73266536,F,Higher education,N,With parents,Other,1,Core staff,76500,-2469,5000000
74131936,F,Secondary / secondary special,N,House / apartment,Medicine,0,Security staff,103500,-8466,3000000
74131939,M,Secondary / secondary special,Y,House / apartment,XNA,0,,225000,365243,0
74585771,F,Secondary / secondary special,N,House / apartment,XNA,0,,126000,365243,30000000
73005872,M,Secondary / secondary special,Y,House / apartment,Transport: type 4,2,,135000,-782,0
73005877,M,Secondary / secondary special,Y,House / apartment,XNA,0,,112500,365243,80000000
73005879,F,Higher education,Y,House / apartment,Business Entity Type 1,1,,85500,-225,0
73005881,F,Incomplete higher,Y,House / apartment,Trade: type 2,1,Sales staff,157500,-267,20000000
73005883,F,Secondary / secondary special,Y,House / apartment,Other,0,Realty agents,270000,-1169,30000000
73005889,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 2,0,Cleaning staff,202500,-968,0
73005892,F,Secondary / secondary special,N,With parents,Government,0,Core staff,67500,-1043,0
73005896,F,Secondary / secondary special,N,House / apartment,Medicine,0,Secretaries,202500,-465,0
73016684,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,Laborers,135000,-215,80000000
73023206,M,Secondary / secondary special,N,House / apartment,Business Entity Type 3,1,Laborers,157500,-239,0
73023215,F,Secondary / secondary special,Y,House / apartment,XNA,0,,225000,365243,60000000
79546798,M,Higher education,N,House / apartment,XNA,0,,135000,365243,30000000
82688785,F,Secondary / secondary special,N,House / apartment,Business Entity Type 3,1,,157500,-2305,0
82703896,F,Higher education,N,House / apartment,Business Entity Type 3,0,High skill tech staff,157500,-802,3000000
82702831,M,Higher education,Y,House / apartment,Transport: type 2,1,High skill tech staff,360000,-5387,0
82730059,M,Higher education,Y,House / apartment,Government,0,Core staff,162000,-3420,0
82734084,F,Secondary / secondary special,N,House / apartment,Self-employed,0,Sales staff,112500,-4560,20000000
82732364,F,Secondary / secondary special,Y,House / apartment,Self-employed,1,Laborers,202500,-4375,30000000
82732149,M,Secondary / secondary special,Y,House / apartment,XNA,0,,117000,365243,30000000
78614208,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,1,Laborers,135000,-2832,30000000
82825550,F,Secondary / secondary special,Y,House / apartment,Other,0,Medicine staff,247500,-8647,20000000
82851110,M,Secondary / secondary special,N,House / apartment,Self-employed,0,Low-skill Laborers,171000,-481,80000000
82893384,M,Higher education,N,House / apartment,Business Entity Type 3,0,Accountants,135000,-1451,30000000
82903265,F,Secondary / secondary special,Y,Municipal apartment,Self-employed,0,Sales staff,157500,-2764,0
82912302,M,Secondary / secondary special,Y,House / apartment,Construction,0,Drivers,202500,-1895,0
80302650,M,Secondary / secondary special,N,House / apartment,Self-employed,0,Drivers,144000,-2995,0
82913958,M,Secondary / secondary special,N,House / apartment,Construction,0,Laborers,157500,-2899,0
82983806,F,Secondary / secondary special,N,With parents,Medicine,2,Medicine staff,157500,-5411,60000000
83067749,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,,180000,-1549,0
74986061,M,Incomplete higher,N,House / apartment,Culture,0,Core staff,180000,-1821,60000000
73122815,F,Secondary / secondary special,Y,House / apartment,Trade: type 7,0,Sales staff,225000,-4027,30000000
73074690,M,Higher education,Y,House / apartment,Business Entity Type 3,0,Managers,292500,-200,80000000
73543569,F,Secondary / secondary special,Y,House / apartment,Self-employed,0,Sales staff,90000,-2599,30000000
73573639,F,Secondary / secondary special,Y,House / apartment,XNA,0,,112500,365243,30000000
73026434,F,Higher education,Y,House / apartment,Other,0,,130500,-5717,10000000
74499930,F,Higher education,N,House / apartment,Self-employed,1,Core staff,450000,-2630,90000000
74596694,F,Secondary / secondary special,Y,House / apartment,XNA,0,,175500,365243,0
73122694,F,Secondary / secondary special,Y,Municipal apartment,Government,3,Core staff,58500,-1894,20000000
73122708,F,Secondary / secondary special,Y,House / apartment,Hotel,0,,180000,-1039,20000000
73004963,F,Higher education,N,House / apartment,Government,0,Core staff,117000,-2596,20000000
73222202,F,Incomplete higher,Y,Municipal apartment,Self-employed,2,Sales staff,180000,-1997,20000000
73058827,F,Secondary / secondary special,Y,House / apartment,Industry: type 7,1,,202500,-266,20000000
73509496,F,Secondary / secondary special,Y,House / apartment,Government,0,Laborers,135000,-4319,30000000
73006297,M,Secondary / secondary special,N,House / apartment,Self-employed,1,,112500,-334,6000000
73017077,F,Higher education,Y,House / apartment,Self-employed,0,,119250,-1485,0
73103317,F,Higher education,N,House / apartment,Trade: type 7,0,Managers,202500,-2311,20000000
73103319,F,Higher education,Y,House / apartment,Transport: type 4,1,Accountants,315000,-4940,20000000
73103338,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,Private service staff,157500,-7676,50000000
73175391,F,Secondary / secondary special,Y,House / apartment,Government,1,Core staff,112500,-4758,0
73723426,F,Secondary / secondary special,Y,House / apartment,XNA,0,,103500,365243,0
74131403,M,Secondary / secondary special,Y,House / apartment,XNA,0,,58500,365243,0
74565385,F,Secondary / secondary special,Y,House / apartment,XNA,0,,117000,365243,80000000
74565739,F,Higher education,N,Office apartment,School,1,Core staff,225000,-5785,0
75032293,F,Incomplete higher,Y,House / apartment,Trade: type 7,0,Sales staff,135000,-1094,80000000
73010557,M,Higher education,N,House / apartment,Government,0,Laborers,162000,-4472,0
73262255,F,Higher education,Y,House / apartment,Business Entity Type 2,0,High skill tech staff,112500,-8355,0
74502781,F,Secondary / secondary special,N,With parents,Trade: type 3,0,Core staff,111915,-150,0
73091821,F,Secondary / secondary special,N,House / apartment,Other,0,,225000,-940,10000000
73015440,F,Higher education,Y,House / apartment,Industry: type 3,2,Laborers,157500,-5258,30000000
75031349,M,Higher education,Y,House / apartment,Trade: type 3,0,,90000,-341,0
77156849,F,Higher education,Y,House / apartment,Construction,0,Secretaries,164250,-2331,50000000
74500173,F,Secondary / secondary special,N,House / apartment,Self-employed,2,Sales staff,157500,-1148,0
79355499,M,Secondary / secondary special,Y,House / apartment,Self-employed,1,Drivers,135000,-1786,20000000
78705309,F,Secondary / secondary special,Y,House / apartment,Industry: type 3,0,Cleaning staff,112500,-472,0
75389670,F,Secondary / secondary special,N,House / apartment,Business Entity Type 3,0,,216000,-2730,10000000
75390961,F,Higher education,Y,House / apartment,Trade: type 2,1,Core staff,180000,-2178,0
75392907,F,Secondary / secondary special,N,House / apartment,XNA,0,,67500,365243,10000000
75182806,F,Secondary / secondary special,N,House / apartment,XNA,0,,54000,365243,80000000
75310370,F,Secondary / secondary special,Y,House / apartment,XNA,1,,81000,365243,0
75551696,F,Secondary / secondary special,Y,House / apartment,Housing,0,Laborers,63000,-1373,50000000
75555709,M,Secondary / secondary special,N,House / apartment,Business Entity Type 3,1,Drivers,157500,-1720,30000000
75351589,F,Secondary / secondary special,Y,House / apartment,Government,0,Waiters/barmen staff,157500,-3592,5000000
75492706,M,Secondary / secondary special,N,House / apartment,Self-employed,1,Laborers,180000,-2802,80000000
75512483,M,Higher education,Y,House / apartment,Construction,3,High skill tech staff,180000,-1038,20000000
76069783,F,Higher education,Y,House / apartment,School,1,Core staff,202500,-17,0
75522090,M,Secondary / secondary special,N,House / apartment,Other,3,Cooking staff,225000,-328,6000000
75526336,F,Secondary / secondary special,N,House / apartment,Industry: type 3,2,Laborers,49500,-1282,30000000
76005793,F,Higher education,Y,House / apartment,Business Entity Type 3,1,,202500,-111,20000000
75540605,F,Secondary / secondary special,N,House / apartment,XNA,0,,90000,365243,50000000
76003730,F,Secondary / secondary special,N,Municipal apartment,Business Entity Type 3,0,Sales staff,90000,-9919,0
75541080,F,Secondary / secondary special,N,House / apartment,Self-employed,0,Laborers,180000,-1403,30000000
75539750,M,Higher education,Y,House / apartment,Business Entity Type 3,0,Drivers,337500,-225,0
73152548,M,Higher education,Y,House / apartment,Business Entity Type 3,1,Core staff,315000,-1514,5000000
73152572,F,Higher education,Y,House / apartment,Self-employed,0,Sales staff,225000,-185,30000000
73152583,F,Secondary / secondary special,Y,House / apartment,Bank,0,,225000,-11883,20000000
73172374,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,2,,225000,-5664,60000000
73266190,M,Secondary / secondary special,N,With parents,Self-employed,2,Sales staff,157500,-4516,30000000
73266196,F,Secondary / secondary special,N,House / apartment,Self-employed,2,Sales staff,112500,-680,30000000
73552240,M,Higher education,N,House / apartment,Self-employed,0,Managers,292500,-240,0
75061528,F,Secondary / secondary special,N,Municipal apartment,Business Entity Type 2,1,Laborers,121500,-410,0
73005838,F,Secondary / secondary special,Y,House / apartment,Medicine,0,Medicine staff,157500,-5025,0
73016562,F,Secondary / secondary special,N,House / apartment,Self-employed,0,Sales staff,135000,-837,80000000
73037319,M,Secondary / secondary special,Y,House / apartment,Industry: type 3,1,Drivers,108000,-2899,0
73037322,F,Secondary / secondary special,Y,House / apartment,Transport: type 4,0,,216000,-701,0
73037324,F,Secondary / secondary special,N,With parents,Hotel,0,Core staff,67500,-551,0
73037344,F,Secondary / secondary special,Y,House / apartment,Military,0,Cooking staff,135000,-468,0
73152247,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 2,0,Laborers,112500,-1896,20000000
73172070,F,Secondary / secondary special,N,Rented apartment,Trade: type 3,2,Core staff,144000,-281,10000000
73171961,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,2,Laborers,135000,-1330,0
73171964,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,1,Accountants,225000,-1699,80000000
73171970,M,Secondary / secondary special,Y,House / apartment,Housing,2,Laborers,135000,-3947,0
73509593,M,Secondary / secondary special,Y,Municipal apartment,Business Entity Type 3,0,Drivers,90000,-7359,20000000
73509600,M,Higher education,Y,House / apartment,Business Entity Type 3,0,Laborers,112500,-573,0
73558080,M,Secondary / secondary special,N,House / apartment,Industry: type 9,1,Laborers,247500,-5021,0
76016782,F,Secondary / secondary special,Y,House / apartment,Self-employed,0,Laborers,135000,-154,10000000
76012412,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 1,0,Laborers,225000,-3408,0
77495831,F,Secondary / secondary special,Y,House / apartment,XNA,0,,90000,365243,6000000
77758387,F,Secondary / secondary special,Y,House / apartment,Industry: type 3,2,Laborers,67500,-5317,80000000
77950302,F,Secondary / secondary special,N,With parents,Business Entity Type 3,1,Laborers,72000,-164,6000000
76545185,M,Secondary / secondary special,Y,House / apartment,Other,0,Drivers,202500,-1940,30000000
76999549,F,Secondary / secondary special,Y,House / apartment,Self-employed,0,Sales staff,225000,-1256,80000000
78636495,M,Higher education,Y,House / apartment,Business Entity Type 3,0,Drivers,292500,-2127,30000000
78648405,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,Laborers,315000,-4398,0
77750103,F,Secondary / secondary special,Y,House / apartment,XNA,0,,90000,365243,0
79463621,F,Secondary / secondary special,Y,House / apartment,Restaurant,0,Cooking staff,135000,-1605,0
73799830,M,Secondary / secondary special,Y,House / apartment,XNA,0,,180000,365243,0
78368840,M,Higher education,Y,Co-op apartment,Government,0,Core staff,180000,-1746,6000000
73116195,F,Secondary / secondary special,Y,House / apartment,Postal,0,Laborers,90000,-2389,5000000
74569453,M,Secondary / secondary special,Y,House / apartment,Postal,0,Drivers,315000,-3339,30000000
77907709,F,Higher education,Y,House / apartment,XNA,0,,108000,365243,20000000
76007425,F,Higher education,Y,House / apartment,XNA,0,,121500,365243,20000000
75557716,F,Secondary / secondary special,Y,House / apartment,Self-employed,0,Sales staff,112500,-278,0
76313782,F,Secondary / secondary special,N,Municipal apartment,Business Entity Type 3,0,,157500,-995,80000000
74458276,M,Higher education,Y,House / apartment,Business Entity Type 3,0,Managers,225000,-3281,10000000
73035187,F,Secondary / secondary special,N,House / apartment,Business Entity Type 3,0,Laborers,85500,-1028,0
74541328,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,Laborers,180000,-1313,30000000
74497095,F,Higher education,Y,House / apartment,XNA,0,,90000,365243,0
74535607,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 2,1,Sales staff,135000,-460,80000000
74535705,F,Secondary / secondary special,Y,House / apartment,Other,0,Medicine staff,157500,-9274,50000000
74395136,M,Secondary / secondary special,Y,House / apartment,Self-employed,0,Drivers,308250,-1106,0
75016879,F,Secondary / secondary special,Y,House / apartment,XNA,0,,108000,365243,30000000
74261311,F,Secondary / secondary special,Y,House / apartment,Services,0,Private service staff,135000,-1787,30000000
73034340,M,Secondary / secondary special,N,House / apartment,XNA,0,,67500,365243,10000000
73101101,M,Secondary / secondary special,Y,House / apartment,XNA,0,,180000,365243,0
73140696,F,Secondary / secondary special,Y,House / apartment,Self-employed,1,Sales staff,112500,-4942,2000000
73854171,F,Higher education,Y,House / apartment,Insurance,0,Managers,73341,-146,20000000
73088012,F,Secondary / secondary special,Y,House / apartment,Self-employed,0,Sales staff,135000,-870,0
73123463,M,Higher education,Y,With parents,Business Entity Type 3,2,Laborers,180000,-3218,0
73123498,F,Secondary / secondary special,Y,Rented apartment,Self-employed,0,Cooking staff,112500,-1185,60000000
74171517,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,1,Drivers,121500,-448,0
74171643,F,Higher education,Y,House / apartment,XNA,0,,202500,365243,20000000
73000066,F,Secondary / secondary special,N,House / apartment,Other,0,Laborers,157500,-648,30000000
73000091,M,Higher education,N,House / apartment,Transport: type 4,0,Managers,202500,-7668,80000000
73000068,M,Secondary / secondary special,N,House / apartment,Business Entity Type 3,0,Core staff,135000,-142,20000000
73000074,F,Incomplete higher,N,House / apartment,Self-employed,1,Sales staff,153000,-716,20000000
73000119,F,Secondary / secondary special,Y,House / apartment,XNA,0,,202500,365243,0
73076650,F,Higher education,Y,House / apartment,Transport: type 4,0,Managers,202500,-2993,0
73381936,F,Secondary / secondary special,Y,House / apartment,Transport: type 2,0,Core staff,157500,-7148,0
74065644,M,Secondary / secondary special,N,House / apartment,Business Entity Type 3,1,Laborers,225000,-602,30000000
73175970,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,1,Drivers,225000,-1116,4000000
73175973,M,Secondary / secondary special,N,House / apartment,Self-employed,0,Drivers,135000,-1274,0
73113676,F,Secondary / secondary special,Y,House / apartment,Self-employed,0,Managers,270000,-3077,0
73243824,F,Secondary / secondary special,Y,House / apartment,Medicine,0,Medicine staff,112500,-11916,30000000
76452155,M,Secondary / secondary special,N,House / apartment,Trade: type 3,0,Sales staff,63000,-1572,80000000
74013616,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,1,Laborers,112500,-166,5000000
74581795,F,Secondary / secondary special,Y,House / apartment,Bank,0,Sales staff,180000,-482,0
80294281,F,Secondary / secondary special,Y,House / apartment,XNA,0,,292500,365243,0
80226863,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,,225000,-15632,6000000
80347748,M,Incomplete higher,Y,House / apartment,Business Entity Type 3,0,Sales staff,135000,-100,0
80361921,M,Secondary / secondary special,Y,House / apartment,Military,0,Managers,225000,-1480,30000000
80414330,M,Higher education,N,House / apartment,Business Entity Type 3,0,Sales staff,157500,-3397,30000000
80413891,F,Secondary / secondary special,Y,House / apartment,Postal,0,Laborers,157500,-3131,80000000
80414823,M,Higher education,N,Rented apartment,Business Entity Type 3,0,,180000,-1228,4000000
80413854,F,Higher education,Y,House / apartment,XNA,0,,87750,365243,0
80413827,M,Secondary / secondary special,N,House / apartment,Self-employed,2,Laborers,292500,-2573,0
80414393,F,Higher education,Y,House / apartment,Business Entity Type 2,1,Sales staff,121500,-59,0
80414225,F,Secondary / secondary special,Y,House / apartment,Medicine,0,Core staff,67500,-4917,20000000
80469826,F,Higher education,Y,House / apartment,School,0,Core staff,180000,-7426,30000000
80500410,F,Higher education,N,House / apartment,Trade: type 7,0,Core staff,90000,-189,20000000
80535245,F,Higher education,Y,House / apartment,Business Entity Type 3,1,,135000,-782,60000000
82670326,M,Secondary / secondary special,Y,House / apartment,Construction,0,High skill tech staff,225000,-2907,30000000
81937516,M,Secondary / secondary special,N,House / apartment,Business Entity Type 3,1,,270000,-1420,0
82676411,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,2,Laborers,225000,-554,30000000
82706541,M,Higher education,Y,House / apartment,Business Entity Type 3,0,Managers,450000,-2363,0
82706256,F,Secondary / secondary special,Y,House / apartment,Self-employed,1,Sales staff,112500,-1753,0
82718520,F,Secondary / secondary special,Y,House / apartment,Construction,0,Laborers,135000,-2875,80000000
75066455,M,Secondary / secondary special,Y,House / apartment,XNA,0,,36000,365243,0
75066448,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,,180000,-2334,10000000
73070487,F,Secondary / secondary special,N,House / apartment,Medicine,1,Core staff,171000,-8215,0
73040659,F,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,,135000,-645,0
73040653,F,Secondary / secondary special,Y,House / apartment,XNA,0,,157500,365243,0
73040645,F,Incomplete higher,Y,House / apartment,Bank,0,Core staff,382500,-864,30000000
73047002,M,Secondary / secondary special,Y,House / apartment,Other,0,Security staff,90000,-837,30000000
73023359,F,Secondary / secondary special,Y,House / apartment,XNA,0,,63000,365243,20000000
73023396,F,Secondary / secondary special,Y,House / apartment,Industry: type 3,0,Laborers,157500,-1350,0
73023398,F,Higher education,Y,House / apartment,Business Entity Type 3,0,Realty agents,270000,-872,80000000
73023400,F,Secondary / secondary special,N,House / apartment,Trade: type 6,0,High skill tech staff,270000,-1491,5000000
73103220,M,Secondary / secondary special,Y,House / apartment,Business Entity Type 3,0,Laborers,166500,-2828,50000000
73103302,F,Secondary / secondary special,N,House / apartment,Transport: type 4,2,High skill tech staff,202500,-3429,10000000
73175697,M,Secondary / secondary special,Y,House / apartment,Industry: type 2,0,Laborers,76500,-7115,50000000
73509604,M,Secondary / secondary special,N,With parents,Business Entity Type 3,0,Laborers,90000,-338,0
